"İl
Provinces","Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",,"Toplam
Total","Erkek
Male","Kadın
Female",Nüfus Yoğunluğu Population Density
Sivas, 631 401, 315 268, 316 133,, 488 600, 240 545, 248 055,, 142 801, 74 723, 68 078,  22
Tekirdağ,1 208 441, 615 806, 592 635,,1 208 441, 615 806, 592 635,,-,-,-,  194
Tokat, 614 141, 305 975, 308 166,, 408 730, 199 925, 208 805,, 205 411, 106 050, 99 361,  61
Trabzon, 823 323, 408 242, 415 081,, 823 323, 408 242, 415 081,,-,-,-,  176
Tunceli, 85 083, 44 420, 40 663,, 57 038, 28 827, 28 211,, 28 045, 15 593, 12 452,  11
Şanlıurfa,2 265 800,1 142 783,1 123 017,,2 265 800,1 142 783,1 123 017,,-,-,-,  118
Uşak, 374 405, 185 487, 188 918,, 288 707, 144 605, 144 102,, 85 698, 40 882, 44 816,  67
Van,1 112 013, 566 544, 545 469,,1 112 013, 566 544, 545 469,,-,-,-,  60
Yozgat, 413 208, 208 491, 204 717,, 276 545, 137 056, 139 489,, 136 663, 71 435, 65 228,  31
Zonguldak, 585 203, 290 246, 294 957,, 375 748, 183 800, 191 948,, 209 455, 106 446, 103 009,  173
Aksaray, 441 136, 220 441, 220 695,, 327 334, 162 363, 164 971,, 113 802, 58 078, 55 724,  61
Bayburt, 82 836, 41 998, 40 838,, 54 629, 27 388, 27 241,, 28 207, 14 610, 13 597,  22
Karaman, 262 355, 130 905, 131 450,, 202 054, 99 308, 102 746,, 60 301, 31 597, 28 704,  30
Kırıkkale, 282 830, 142 104, 140 726,, 249 335, 124 165, 125 170,, 33 495, 17 939, 15 556,  60
Batman, 662 626, 335 382, 327 244,, 557 414, 281 191, 276 223,, 105 212, 54 191, 51 021,  148
Şırnak, 573 666, 296 986, 276 680,, 391 982, 201 187, 190 795,, 181 684, 95 799, 85 885,  80
Bartın, 206 663, 102 394, 104 269,, 102 771, 51 334, 51 437,, 103 892, 51 060, 52 832,  91
Ardahan, 90 392, 47 059, 43 333,, 40 845, 20 871, 19 974,, 49 547, 26 188, 23 359,  19
Iğdır, 205 071, 105 907, 99 164,, 122 139, 62 651, 59 488,, 82 932, 43 256, 39 676,  57
Yalova, 311 635, 155 593, 156 042,, 225 480, 112 853, 112 627,, 86 155, 42 740, 43 415,  395
Karabük, 249 614, 126 021, 123 593,, 193 921, 94 719, 99 202,, 55 693, 31 302, 24 391,  62
Kilis, 157 363, 79 727, 77 636,, 125 774, 61 575, 64 199,, 31 589, 18 152, 13 437,  112
Osmaniye, 564 123, 283 982, 280 141,, 441 380, 218 765, 222 615,, 122 743, 65 217, 57 526,  170
Düzce, 415 622, 207 675, 207 947,, 293 436, 145 430, 148 006,, 122 186, 62 245, 59 941,  168
"TÜİK, Adrese Dayalı Nüfus Kayıt Sistemi Sonuçları, 2025",,,,,,,,,,,,
"TurkStat, The Results of Address Based Population Registration System, 2025",,,,,,,,,,,,
- Bilgi yoktur.,,,,,,,,,,,,
- Denotes magnitude null.,,,,,,,,,,,,
